RecordedDate,ResponseId,Duration,age,age_group,region,region_group,locality,gender,education,nationality,trust_president_Q7_1,trust_gov_Q7_2,putin_approve_Q8,president_candidate_Q9,street_action_Q10,law_Q11,protest_authorization_Q12_1,protest_arrest_participants_Q12_2,protest_arrest_organizers_Q12_3,media_foreign_websites_Q13_1,media_surveilliance_Q13_2,media_foreign_agents_Q13_3,navalny_Q14,citizen_proud_Q15,protest_participate_authorized_Q16_1,protest_participate_unauthorized_Q16_2,follow_politics_Q17,information_source_Q18,tv_channels_Q19,tv_channels_grouped_Q19,trust_regional_federal_Q20,list_experiment_control_Q21_v1,list_experiment_treatment_Q21_v2,group_experiment_v1_admin,group_experiment_v1_protesters,group_experiment_v1_police,group_experiment_v2_admin,group_experiment_v2_protesters,group_experiment_v2_police,group_experiment_v3_admin,group_experiment_v3_protesters,group_experiment_v3_police,group_experiment_v4_admin,group_experiment_v4_protesters,group_experiment_v4_police,group_experiment_v5_admin,group_experiment_v5_protesters,group_experiment_v5_police,group_experiment_v6_admin,group_experiment_v6_protesters,group_experiment_v6_police,group_experiment_v7_admin,group_experiment_v7_protesters,group_experiment_v7_police,group_experiment_v8_admin,group_experiment_v8_protesters,group_experiment_v8_police,protest_attitude_Q23,family_finance_today_Q24,russian_economy_Q25,personal_wealth_Q26,trust_others_Q27
2023-07-31 10:40:34,R_2WTfelByGtiAFeu,398,22,18-24,Приморский край,Other,В городе 500 тыс.-1 млн. жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Русские,Скорее доверяют,Скорее доверяют,Одобряю,Владимир Путин,3,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее не оправдано,Скорее не оправдано,no_answer,Не слышали от таком/не знаете такого,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Иногда,Социальные сети и мессенджеры,"РЕН ТВ ,НТВ ,Пятый канал ,ТНТ ,СТС",Other,В равной степени региональным и федеральным,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Скорее, одобряю","Скорее, не одобряю","Скорее, одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Не поддерживаете,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,"Стало немного лучше, чем раньше",Скорее согласны
2023-07-31 10:40:34,R_1QuUEWXt8AH6LpL,575,42,35-44,Москва,Moscow/St Petersburg,Москва,Мужской,Высшее образование (бакалавриат / специалитет),Русские,Скорее не доверяют,Совсем не доверяют,Не одобряю,Сергей Миронов,4,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее оправданно,Скорее оправданно,Совершенно оправданно,Полностью не оправдано,Скорее не оправдано,Полностью не оправдано,Не одобряю,Совершенно согласны,Я считаю такой способ недопустимым и сам(а) не участвовал(а),Я считаю такой способ недопустимым и сам(а) не участвовал(а),Иногда,Социальные сети и мессенджеры,"Россия 1/Россия 24 ,РЕН ТВ ,СТС",Other,Федеральным,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Скорее, одобряю","Скорее, одобряю","Скорее, одобряю",NA,NA,NA,"Поддерживаете, но не готовы принять участие","Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного хуже, чем раньше","Стало значительно хуже, чем раньше",Совершенно не согласны
2023-07-31 10:40:34,R_1DZH3hIUv1YawCF,318,54,45-54,Ханты-Мансийский автономный округ – Югра,Other,В городе / поселке / селе 100 тыс. и менее жителей,Мужской,Высшее образование (магистратура),Русские,Полностью доверяют,Скорее доверяют,Одобряю,Владимир Путин,"1
не влияют на ситуацию в стране","Подчиняться закону во всех случаях, без исключений",Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее оправданно,Совершенно оправданно,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Иногда,Социальные сети и мессенджеры,"Россия 1/Россия 24 ,Первый канал ,НТВ",Watches Channel 1,В равной степени региональным и федеральным,1,NA,NA,NA,NA,"Определенно, одобряю","Скорее, одобряю","Скорее, не одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Поддерживаете, но не готовы принять участие","Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,Практически ничего не изменилось,Скорее согласны
2023-07-31 10:40:48,R_2EGDNS9lA5jwSD7,568,65,65+,Республика Коми,Other,В городе / поселке / селе 100 тыс. и менее жителей,Мужской,Высшее образование (бакалавриат / специалитет),Коми,Скорее доверяют,Скорее доверяют,Одобряю,Владимир Путин,2,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Совершенно оправданно,Скорее оправданно,Совершенно оправданно,Скорее оправданно,Скорее оправданно,Скорее оправданно,Не одобряю,Совершенно согласны,"Я считаю этот способ допустимым, и сам(а) участвовал (а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Интернет-ресурсы,"Россия 1/Россия 24 ,Первый канал ,РЕН ТВ ,НТВ ,Телеканал Звезда ,Пятый канал ,ОТР ,ТВ Центр  ,ТВ-3 ,СТС",Watches Channel 1,В равной степени региональным и федеральным,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Определенно, не одобряю","Скорее, одобряю","Определенно, одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,Не поддерживаете,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного лучше, чем раньше","Стало немного лучше, чем раньше",Скорее не согласны
2023-07-31 10:40:53,R_cMef2JWVYIPD5a9,422,33,25-34,Санкт-Петербург,Moscow/St Petersburg,Санкт-Петербург,Мужской,Высшее образование (магистратура),Русские,Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,3,no_answer,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Не слышали о таком,Совершенно оправданно,Совершенно оправданно,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Социальные сети и мессенджеры,Ничего из перечисленного,Other,В равной степени региональным и федеральным,1,NA,NA,NA,NA,NA,NA,NA,"Определенно, одобряю","Скорее, не одобряю","Скорее, одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Поддерживаете, но не готовы принять участие","Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного лучше, чем раньше",Практически ничего не изменилось,Скорее согласны
2023-07-31 10:40:57,R_3OlySofk0Llo9wD,440,31,25-34,Воронежская область,Other,В городе / поселке / селе 100 тыс. и менее жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Русские,Полностью доверяют,Полностью доверяют,Одобряю,Не стал бы участвовать в выборах,"5
влияют на ситуацию в стране","В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,no_answer,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",no_answer,Не слежу,Интернет-ресурсы,РЕН ТВ,Other,В равной степени региональным и федеральным,NA,2,"Скорее, одобряю","Скорее, одобряю","Определенно, одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,Денег не хватает даже на еду,"Стало немного хуже, чем раньше","Стало значительно хуже, чем раньше",Полностью согласны
2023-07-31 10:40:59,R_3MxJQZuGCzUSkU4,623,57,55-64,Смоленская область,Other,В городе 250-500 тыс. жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Русские,Скорее не доверяют,Совсем не доверяют,Не одобряю,Сергей Миронов,"1
не влияют на ситуацию в стране","Подчиняться закону во всех случаях, без исключений",Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее не оправдано,Скорее оправданно,Совершенно оправданно,Не одобряю,"В чем-то согласны, в чем-то нет",no_answer,Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Телевидение,"Россия 1/Россия 24 ,Первый канал ,РЕН ТВ ,НТВ ,Телеканал Звезда ,Пятый канал ,ТВ Центр  ,ТНТ ,СТС",Watches Channel 1,Скорее региональным,0,NA,NA,NA,NA,no_answer,no_answer,no_answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Не поддерживаете,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",Совершенно не согласны
2023-07-31 10:41:07,R_Tc1u9w6a9t3lssx,361,20,18-24,Республика Дагестан,Other,В городе 250-500 тыс. жителей,Женский,Незаконченное высшее (не менее трех курсов вуза),Кумыки,Полностью доверяют,Скорее доверяют,Одобряю,Владимир Путин,2,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее оправданно,Скорее оправданно,Скорее оправданно,Скорее оправданно,Скорее оправданно,Скорее не оправдано,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Телевидение,"Россия 1/Россия 24 ,Первый канал",Watches Channel 1,В равной степени региональным и федеральным,0,NA,NA,NA,NA,NA,NA,NA,"Скорее, одобряю","Скорее, одобряю","Скорее, одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Поддерживаете, но не готовы принять участие","Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного хуже, чем раньше",Практически ничего не изменилось,Скорее не согласны
2023-07-31 10:41:08,R_3I6nGPlrchG0rD7,581,56,55-64,Самарская область,Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,Высшее образование (бакалавриат / специалитет),Русские,Полностью доверяют,Скорее доверяют,Одобряю,Владимир Путин,3,"Подчиняться закону во всех случаях, без исключений",Совершенно оправданно,Скорее оправданно,Совершенно оправданно,Скорее оправданно,Совершенно оправданно,Совершенно оправданно,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Телевидение,"Россия 1/Россия 24 ,Первый канал ,РЕН ТВ ,НТВ ,Телеканал Звезда ,Пятый канал ,ОТР ,СТС",Watches Channel 1,В равной степени региональным и федеральным,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Скорее, не одобряю","Определенно, не одобряю","Скорее, не одобряю",NA,NA,NA,"Поддерживаете, но не готовы принять участие","Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна",Практически ничего не изменилось,Практически ничего не изменилось,Скорее не согласны
2023-07-31 10:41:08,R_1d6boroyfrpY6gm,390,52,45-54,Санкт-Петербург,Moscow/St Petersburg,Санкт-Петербург,Женский,Незаконченное высшее (не менее трех курсов вуза),Русские,Полностью доверяют,"Отчасти доверяют, отчасти не доверяют",Одобряю,Владимир Путин,"1
не влияют на ситуацию в стране","В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее оправданно,Совершенно оправданно,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Интернет-ресурсы,"Россия 1/Россия 24 ,РЕН ТВ ,Телеканал Звезда ,ТВ Центр ",Other,В равной степени региональным и федеральным,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Определенно, не одобряю","Определенно, одобряю","Скорее, не одобряю",NA,NA,NA,NA,NA,NA,"Поддерживаете, и готовы принять участие","Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало значительно лучше, чем раньше",Практически ничего не изменилось,Скорее не согласны
2023-07-31 10:41:09,R_Dox3vDcj7QwBnPP,400,31,25-34,Самарская область,Other,В городе 500 тыс.-1 млн. жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Русские,Полностью доверяют,"Отчасти доверяют, отчасти не доверяют",Одобряю,Владимир Путин,"5
влияют на ситуацию в стране","В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее не оправдано,Скорее не оправдано,Скорее не оправдано,Полностью не оправдано,Скорее оправданно,Скорее оправданно,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Иногда,Социальные сети и мессенджеры,"Россия 1/Россия 24 ,РЕН ТВ ,ТНТ",Other,В равной степени региональным и федеральным,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Скорее, не одобряю","Скорее, одобряю","Скорее, одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Поддерживаете, но не готовы принять участие","Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного лучше, чем раньше",Практически ничего не изменилось,Скорее не согласны
2023-07-31 10:41:12,R_a4bClQwzKtMvgfT,409,50,45-54,Красноярский край,Other,В городе 100-250 тыс. жителей,Мужской,Высшее образование (магистратура),Русские,Скорее не доверяют,Скорее не доверяют,Одобряю,Владимир Путин,"1
не влияют на ситуацию в стране","В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Полностью не оправдано,Полностью не оправдано,Полностью не оправдано,Полностью не оправдано,Совершенно оправданно,Полностью не оправдано,no_answer,"В чем-то согласны, в чем-то нет","Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Иногда,Интернет-ресурсы,"РБК ,Первый канал",Watches Channel 1,no_answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,"Скорее, одобряю","Определенно, одобряю",NA,NA,NA,"Поддерживаете, но не готовы принять участие","Покупка машины не вызывает у Вас особых трудностей, однако покупка жилья Вам пока недоступна","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",Совершенно не согласны
2023-07-31 10:41:13,R_1Iiqt7eG7kbyz0l,562,19,18-24,Астраханская область,Other,В городе 250-500 тыс. жителей,Мужской,"Законченное среднее образование (школа, лицей, гимназия)",Русские,"Отчасти доверяют, отчасти не доверяют",no_answer,no_answer,Не стал бы участвовать в выборах,"1
не влияют на ситуацию в стране","В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",no_answer,no_answer,Скорее не оправдано,Не слышали о таком,Полностью не оправдано,Скорее не оправдано,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",no_answer,Иногда,Узнаю новости от родственников и знакомых,Первый канал,Watches Channel 1,В равной степени региональным и федеральным,NA,2,"Определенно, одобряю",no_answer,"Скорее, не одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Поддерживаете, и готовы принять участие","На повседневные расходы денег достаточно, но уже покупка одежды представляет для Вас трудности",Практически ничего не изменилось,"Стало немного хуже, чем раньше",Скорее согласны
2023-07-31 10:41:14,R_1LIqnjeu3jmn9BK,357,40,35-44,Орловская область,Other,В городе / поселке / селе 100 тыс. и менее жителей,Мужской,Высшее образование (бакалавриат / специалитет),Русские,Скорее доверяют,Скорее доверяют,Одобряю,Владимир Путин,3,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее оправданно,Скорее оправданно,Скорее оправданно,Не слышали о таком,Скорее оправданно,Скорее оправданно,Не слышали от таком/не знаете такого,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",no_answer,Постоянно,Телевидение,"Россия 1/Россия 24 ,Первый канал ,Пятый канал ,ТНТ",Watches Channel 1,В равной степени региональным и федеральным,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Определенно, одобряю","Скорее, не одобряю",no_answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Не поддерживаете,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",Скорее не согласны
2023-07-31 10:41:15,R_Z8jE6ulTsB1hRu1,530,44,35-44,Воронежская область,Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (бакалавриат / специалитет),Русские,Скорее доверяют,"Отчасти доверяют, отчасти не доверяют",Одобряю,Владимир Путин,2,"Подчиняться закону во всех случаях, без исключений",Скорее оправданно,Скорее оправданно,Совершенно оправданно,Скорее оправданно,Скорее не оправдано,Совершенно оправданно,no_answer,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Очень редко,Телевидение,"Россия 1/Россия 24 ,Первый канал ,РЕН ТВ ,НТВ ,ТНТ ,СТС",Watches Channel 1,В равной степени региональным и федеральным,1,NA,NA,NA,NA,"Скорее, не одобряю","Скорее, одобряю","Скорее, не одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Не поддерживаете,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна",Практически ничего не изменилось,"Стало немного хуже, чем раньше",Скорее согласны
2023-07-31 10:41:17,R_1CjyqGyIiOjJYVv,405,60,55-64,Курская область,Other,В городе 100-250 тыс. жителей,Женский,Высшее образование (бакалавриат / специалитет),Русские,Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,3,"Подчиняться закону во всех случаях, без исключений",Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее оправданно,Скорее оправданно,Скорее оправданно,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Иногда,Интернет-ресурсы,Первый канал,Watches Channel 1,Федеральным,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Скорее, одобряю","Определенно, не одобряю","Скорее, одобряю",Не поддерживаете,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,"Стало немного лучше, чем раньше",Скорее согласны
2023-07-31 10:41:31,R_2pJHsMgqU4CQGuk,275,35,35-44,Республика Татарстан (Татарстан),Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (магистратура),Русские,Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,"1
не влияют на ситуацию в стране","Подчиняться закону во всех случаях, без исключений",Совершенно оправданно,no_answer,no_answer,Не слышали о таком,Не слышали о таком,Не слышали о таком,Не одобряю,Совершенно согласны,Я считаю такой способ недопустимым и сам(а) не участвовал(а),Я считаю такой способ недопустимым и сам(а) не участвовал(а),Очень редко,Интернет-ресурсы,"Россия 1/Россия 24 ,Первый канал",Watches Channel 1,Федеральным,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,no_answer,no_answer,no_answer,В настоящее время Вы можете практически ни в чем себе не отказывать,"Стало значительно лучше, чем раньше","Стало значительно лучше, чем раньше",Скорее согласны
2023-07-31 10:41:36,R_3IawzZT61yzHEu8,574,55,55-64,Хабаровский край,Other,В городе 500 тыс.-1 млн. жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Русские,Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,no_answer,"Подчиняться закону во всех случаях, без исключений",no_answer,Совершенно оправданно,Совершенно оправданно,no_answer,no_answer,no_answer,Не одобряю,Совершенно согласны,no_answer,no_answer,Иногда,Телевидение,"Россия 1/Россия 24 ,РЕН ТВ ,Телеканал Звезда ,Пятый канал",Other,Федеральным,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_answer,no_answer,"Определенно, не одобряю",NA,NA,NA,no_answer,"На повседневные расходы денег достаточно, но уже покупка одежды представляет для Вас трудности","Стало немного хуже, чем раньше","Стало значительно хуже, чем раньше",no_answer
2023-07-31 10:41:49,R_3ew9KeXdsChSog9,217,31,25-34,Тюменская область,Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Женский,Высшее образование (магистратура),Русские,Скорее не доверяют,Скорее не доверяют,no_answer,Леонид Слуцкий,"1
не влияют на ситуацию в стране","В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее оправданно,Полностью не оправдано,Полностью не оправдано,Скорее не оправдано,Полностью не оправдано,Скорее оправданно,no_answer,Скорее согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Постоянно,Социальные сети и мессенджеры,"РЕН ТВ ,НТВ ,ТНТ ,ТВ-3 ,СТС",Other,Скорее региональным,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Определенно, не одобряю","Скорее, одобряю","Определенно, не одобряю",NA,NA,NA,NA,NA,NA,"Поддерживаете, но не готовы принять участие","Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало значительно хуже, чем раньше","Стало значительно хуже, чем раньше",Совершенно не согласны
2023-07-31 10:41:50,R_1INnHNt3Zsitq8t,469,36,35-44,Москва,Moscow/St Petersburg,Москва,Мужской,Высшее образование (бакалавриат / специалитет),Русские,Полностью доверяют,Полностью доверяют,Одобряю,Владимир Путин,4,"В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее оправданно,Скорее не оправдано,Скорее не оправдано,Полностью не оправдано,Скорее не оправдано,Скорее не оправдано,no_answer,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)","Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Иногда,Интернет-ресурсы,"Первый канал ,РЕН ТВ ,НТВ ,ТНТ",Watches Channel 1,no_answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Определенно, не одобряю","Скорее, не одобряю","Скорее, не одобряю",NA,NA,NA,Не поддерживаете,"Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит",Практически ничего не изменилось,"Стало немного лучше, чем раньше",Скорее не согласны
2023-07-31 10:41:53,R_2aVU8ITrmKq1NCc,793,62,55-64,Воронежская область,Other,В городе / поселке / селе 100 тыс. и менее жителей,Мужской,"Законченное среднее образование (школа, лицей, гимназия)",Русские,Скорее доверяют,Скорее доверяют,no_answer,Не стал бы участвовать в выборах,"1
не влияют на ситуацию в стране","Подчиняться закону во всех случаях, без исключений",Скорее не оправдано,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Интернет-ресурсы,"Россия 1/Россия 24 ,Первый канал ,РЕН ТВ ,НТВ ,Телеканал Звезда",Watches Channel 1,В равной степени региональным и федеральным,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Определенно, не одобряю","Скорее, не одобряю","Скорее, не одобряю",NA,NA,NA,NA,NA,NA,Не поддерживаете,Денег хватает только на самое необходимое ,"Стало значительно хуже, чем раньше","Стало значительно хуже, чем раньше",Полностью согласны
2023-07-31 10:41:53,R_z2cvXUOedj6Y9gt,403,44,35-44,Калужская область,Other,В городе 250-500 тыс. жителей,Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Русские,Полностью доверяют,Скорее доверяют,Одобряю,Владимир Путин,"1
не влияют на ситуацию в стране","В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Совершенно оправданно,Совершенно оправданно,Совершенно оправданно,Скорее оправданно,Совершенно оправданно,Совершенно оправданно,Не одобряю,Совершенно согласны,"Я считаю такой способ допустимым, но сам(а) не участвовал(а)",Я считаю такой способ недопустимым и сам(а) не участвовал(а),Постоянно,Телевидение,"Россия 1/Россия 24 ,Первый канал ,РЕН ТВ ,НТВ ,Телеканал Звезда ,Пятый канал ,ТВ-3 ,СТС",Watches Channel 1,Скорее федеральным,NA,2,NA,NA,NA,NA,NA,NA,"Скорее, не одобряю","Определенно, не одобряю","Определенно, не одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Не поддерживаете,"Покупка дорогих товаров не вызывает у Вас особых трудностей, однако покупка машины Вам пока недоступна","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",Скорее не согласны
2023-07-31 10:41:57,R_1B2C5R0zvWHq8z7,379,59,55-64,Республика Татарстан (Татарстан),Other,В городе более 1 млн. жителей (кроме Москвы и Санкт-Петербурга),Мужской,"Среднее специальное или профессионально-техническое (ПТУ, техникум, училище)",Русские,"Отчасти доверяют, отчасти не доверяют",Скорее не доверяют,no_answer,no_answer,"1
не влияют на ситуацию в стране","В некоторых случаях следовать голосу своей совести, даже если это ведет к нарушению закона",Скорее оправданно,Скорее оправданно,Скорее оправданно,Скорее не оправдано,Скорее оправданно,Совершенно оправданно,no_answer,Совершенно согласны,no_answer,no_answer,Постоянно,Социальные сети и мессенджеры,"НТВ ,Телеканал Звезда ,Пятый канал ,ТВ Центр  ,СТС",Other,В равной степени региональным и федеральным,2,NA,NA,NA,NA,"Определенно, не одобряю","Скорее, одобряю","Скорее, не одобряю",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Поддерживаете, но не готовы принять участие","Денег в основном хватает, но для покупки дорогих товаров, таких как, например, холодильник, телевизор, стиральная машина, Вы должны очень долго копить деньги или брать в долг, в кредит","Стало немного хуже, чем раньше","Стало немного хуже, чем раньше",Скорее не согласны
